id;latitude;longitude;population
Kongsvinger;60.1926;11.992;17361
Oslo;59.91387;10.75225;580000
Bergen;60.39126;5.32205;213600
Trondheim;63.4346;10.39851;165191
Drammen;59.7451;10.21351;60145
Stavanger;58.96998;5.73311;121600
Kristiansand;58.1447;7.99828;78919
Tromso;69.6613;18.9503;65286
Bodo;67.28;14.405;46049
Narvik;68.4385;17.42726;14100
Rygge;68.75;14.7167;15101
Hof;50.31297;11.91261;3091
Ise;59.3;11.23333;717
Sola;58.8822;5.64469;21445
Fredrikstad;59.2181;10.92981;71976
Sandnes;58.8585;5.71738;62037
Asker;59.8345;10.437;52922
Sarpsborg;59.2848;11.1061;51053
Skien;59.2;9.61111;50761
Alesund;62.47225;6.15492;45747
Sandefjord;59.1312;10.21661;42333
